Id,Mode,TestSource,TokenizerDelay,ParserDelay,OutlinerDelay,CodeCompletionerDelay
101,-t -p -o -c ,javascript-100lines.java,41,63,66,66,
102,-t -p -o -c ,javascript-100lines.java,46,59,64,63,
103,-t -p -o -c ,javascript-100lines.java,53,58,63,61,
104,-t -p -o -c ,javascript-100lines.java,38,51,55,54,
105,-t -p -o -c ,javascript-100lines.java,40,41,44,43,
106,-t -p -o -c ,javascript-100lines.java,41,45,48,48,
107,-t -p -o -c ,javascript-100lines.java,39,42,45,44,
108,-t -p -o -c ,javascript-100lines.java,41,42,44,44,
109,-t -p -o -c ,javascript-100lines.java,36,48,50,50,
110,-t -p -o -c ,javascript-100lines.java,37,47,49,49,
111,-t -p -o -c ,javascript-100lines.java,37,43,45,45,
112,-t -p -o -c ,javascript-100lines.java,36,47,50,50,
113,-t -p -o -c ,javascript-100lines.java,39,41,43,43,
114,-t -p -o -c ,javascript-100lines.java,43,39,43,43,
115,-t -p -o -c ,javascript-100lines.java,41,42,45,44,
116,-t -p -o -c ,javascript-100lines.java,39,41,43,43,
117,-t -p -o -c ,javascript-100lines.java,37,40,42,42,
118,-t -p -o -c ,javascript-100lines.java,41,44,47,47,
119,-t -p -o -c ,javascript-100lines.java,47,50,53,52,
120,-t -p -o -c ,javascript-100lines.java,38,40,43,42,
121,-t -p -o -c ,javascript-100lines.java,38,40,42,41,
122,-t -p -o -c ,javascript-100lines.java,41,42,44,44,
123,-t -p -o -c ,javascript-100lines.java,40,41,44,43,
124,-t -p -o -c ,javascript-100lines.java,41,47,50,49,
125,-t -p -o -c ,javascript-100lines.java,36,45,47,47,
126,-t -p -o -c ,javascript-100lines.java,39,42,44,44,
127,-t -p -o -c ,javascript-100lines.java,37,40,43,42,
128,-t -p -o -c ,javascript-100lines.java,38,41,45,44,
129,-t -p -o -c ,javascript-100lines.java,54,58,62,61,
130,-t -p -o -c ,javascript-100lines.java,38,46,48,48,
131,-t -p -o -c ,javascript-100lines.java,45,47,49,49,
132,-t -p -o -c ,javascript-100lines.java,53,55,57,56,
133,-t -p -o -c ,javascript-100lines.java,36,39,41,41,
134,-t -p -o -c ,javascript-100lines.java,36,41,43,43,
135,-t -p -o -c ,javascript-100lines.java,39,41,43,43,
136,-t -p -o -c ,javascript-100lines.java,42,44,47,46,
137,-t -p -o -c ,javascript-100lines.java,44,45,47,47,
138,-t -p -o -c ,javascript-100lines.java,36,39,42,41,
139,-t -p -o -c ,javascript-100lines.java,46,47,49,49,
140,-t -p -o -c ,javascript-100lines.java,38,40,42,42,
141,-t -p -o -c ,javascript-100lines.java,38,44,46,46,
142,-t -p -o -c ,javascript-100lines.java,38,41,43,43,
143,-t -p -o -c ,javascript-100lines.java,51,53,55,55,
144,-t -p -o -c ,javascript-100lines.java,39,43,45,45,
145,-t -p -o -c ,javascript-100lines.java,52,54,56,56,
146,-t -p -o -c ,javascript-100lines.java,38,41,43,43,
147,-t -p -o -c ,javascript-100lines.java,40,41,43,43,
148,-t -p -o -c ,javascript-100lines.java,46,43,47,46,
149,-t -p -o -c ,javascript-100lines.java,40,41,44,44,
150,-t -p -o -c ,javascript-100lines.java,37,39,42,42,
151,-t -p -o -c ,javascript-100lines.java,38,39,42,42,
152,-t -p -o -c ,javascript-100lines.java,36,39,42,41,
